date,ticker,name,group,rs_ratio,rs_momentum,close
2025-08-04,KRE,Regional Banks,sector,95.4063,89.8527,58.5761
2025-08-05,KRE,Regional Banks,sector,96.4076,92.8531,58.7725
2025-08-06,KRE,Regional Banks,sector,95.2207,91.0129,58.3011
2025-08-07,KRE,Regional Banks,sector,92.8819,89.9266,57.7905
2025-08-08,KRE,Regional Banks,sector,93.6009,88.05,58.4877
2025-08-11,KRE,Regional Banks,sector,92.3804,85.9259,58.3306
2025-08-12,KRE,Regional Banks,sector,94.8769,85.6533,60.4321
2025-08-13,KRE,Regional Banks,sector,96.8059,90.8762,61.5123
2025-08-14,KRE,Regional Banks,sector,97.1091,92.4644,61.473
2025-08-15,KRE,Regional Banks,sector,96.3894,92.5381,60.4812
2025-08-18,KRE,Regional Banks,sector,97.4434,94.0421,60.815
2025-08-19,KRE,Regional Banks,sector,97.9202,96.0109,60.707
2025-08-20,KRE,Regional Banks,sector,100.4269,98.6155,60.9231
2025-08-21,KRE,Regional Banks,sector,100.4647,100.1813,60.6776
2025-08-22,KRE,Regional Banks,sector,103.5777,104.8431,63.6727
2025-08-25,KRE,Regional Banks,sector,103.1739,103.5835,63.329
2025-08-26,KRE,Regional Banks,sector,105.0314,106.0924,64.0556
2025-08-27,KRE,Regional Banks,sector,105.1379,106.7246,64.5663
2025-08-28,KRE,Regional Banks,sector,105.0353,106.5867,64.3404
2025-08-29,KRE,Regional Banks,sector,107.0348,109.9582,64.3306
2025-09-02,KRE,Regional Banks,sector,106.0651,110.81,63.9083
2025-09-03,KRE,Regional Banks,sector,106.9347,112.0835,63.9967
2025-09-04,KRE,Regional Banks,sector,107.1662,111.1595,64.9394
2025-09-05,KRE,Regional Banks,sector,104.8345,110.0963,64.2717
2025-09-08,KRE,Regional Banks,sector,104.2627,112.2529,64.3404
2025-09-09,KRE,Regional Banks,sector,102.4529,109.4572,63.6825
2025-09-10,KRE,Regional Banks,sector,103.3796,111.9065,63.7512
2025-09-11,KRE,Regional Banks,sector,104.0211,109.638,64.036
2025-09-12,KRE,Regional Banks,sector,105.3722,108.849,63.82
2025-09-15,KRE,Regional Banks,sector,104.3034,107.4085,63.2013
2025-09-16,KRE,Regional Banks,sector,103.7624,107.6492,62.5434
2025-09-17,KRE,Regional Banks,sector,103.7394,106.4612,63.2897
2025-09-18,KRE,Regional Banks,sector,104.9652,107.1946,64.9787
2025-09-19,KRE,Regional Banks,sector,101.8149,101.3821,64.1637
2025-09-22,KRE,Regional Banks,sector,100.2401,99.7764,63.3732
2025-09-23,KRE,Regional Banks,sector,101.2045,97.7088,63.2942
2025-09-24,KRE,Regional Banks,sector,99.8137,96.7431,63.1657
2025-09-25,KRE,Regional Banks,sector,100.7623,95.9354,63.1262
2025-09-26,KRE,Regional Banks,sector,101.2422,96.2947,63.4226
2025-09-29,KRE,Regional Banks,sector,96.6475,92.0143,62.81
2025-09-30,KRE,Regional Banks,sector,94.6311,88.4115,62.5433
2025-10-01,KRE,Regional Banks,sector,93.4808,88.1353,62.2172
2025-10-02,KRE,Regional Banks,sector,93.417,87.3589,62.069
2025-10-03,KRE,Regional Banks,sector,93.4523,87.2031,62.6915
2025-10-06,KRE,Regional Banks,sector,94.6666,90.301,63.3238
2025-10-07,KRE,Regional Banks,sector,93.9333,90.0929,62.8693
2025-10-08,KRE,Regional Banks,sector,93.4779,91.2399,62.484
2025-10-09,KRE,Regional Banks,sector,92.4539,89.4315,62.1974
2025-10-10,KRE,Regional Banks,sector,93.755,90.1307,59.4704
2025-10-13,KRE,Regional Banks,sector,93.8528,89.0679,60.7747
2025-10-14,KRE,Regional Banks,sector,95.519,91.578,62.6519
2025-10-15,KRE,Regional Banks,sector,92.7373,89.3746,61.239
2025-10-16,KRE,Regional Banks,sector,88.0326,84.8594,57.445
2025-10-17,KRE,Regional Banks,sector,88.5415,84.3532,58.3638
2025-10-20,KRE,Regional Banks,sector,90.575,88.9605,59.8163
2025-10-21,KRE,Regional Banks,sector,92.463,92.2415,59.9052
2025-10-22,KRE,Regional Banks,sector,93.422,92.3101,59.7175
2025-10-23,KRE,Regional Banks,sector,92.5232,92.6959,59.4606
2025-10-24,KRE,Regional Banks,sector,93.5665,92.8586,60.4881
2025-10-27,KRE,Regional Banks,sector,93.4829,92.3359,60.4387
2025-10-28,KRE,Regional Banks,sector,93.6303,96.8781,60.1917
2025-10-29,KRE,Regional Banks,sector,92.2794,97.5149,59.095
2025-10-30,KRE,Regional Banks,sector,93.4839,100.0034,59.1444
2025-10-31,KRE,Regional Banks,sector,92.6121,99.1384,59.2827
2025-11-03,KRE,Regional Banks,sector,94.1189,100.7133,59.421
2025-11-04,KRE,Regional Banks,sector,95.4982,100.8784,59.1049
2025-11-05,KRE,Regional Banks,sector,95.9394,102.1357,59.836
2025-11-06,KRE,Regional Banks,sector,96.4079,103.1345,59.4408
2025-11-07,KRE,Regional Banks,sector,95.281,103.0579,60.2806
2025-11-10,KRE,Regional Banks,sector,92.9702,99.1629,60.5968
2025-11-11,KRE,Regional Banks,sector,93.0074,99.0992,60.7154
2025-11-12,KRE,Regional Banks,sector,94.3815,98.8091,60.7944
2025-11-13,KRE,Regional Banks,sector,94.2788,101.6622,60.0633
2025-11-14,KRE,Regional Banks,sector,94.1504,106.9494,60.1917
2025-11-17,KRE,Regional Banks,sector,90.8969,102.6602,57.9291
2025-11-18,KRE,Regional Banks,sector,92.497,102.122,58.4528
2025-11-19,KRE,Regional Banks,sector,90.1047,97.4495,59.0752
2025-11-20,KRE,Regional Banks,sector,91.2847,97.7122,58.8776
2025-11-21,KRE,Regional Banks,sector,92.7749,100.272,60.8735
2025-11-24,KRE,Regional Banks,sector,90.9866,97.2427,60.9229
2025-11-25,KRE,Regional Banks,sector,93.3518,99.8597,62.6519
2025-11-26,KRE,Regional Banks,sector,91.8241,98.0709,62.4148
2025-11-28,KRE,Regional Banks,sector,90.9878,98.6003,62.237
2025-12-01,KRE,Regional Banks,sector,92.7788,99.2458,62.9187
2025-12-02,KRE,Regional Banks,sector,91.5199,98.8206,62.5729
2025-12-03,KRE,Regional Banks,sector,93.7999,99.6611,63.8771
2025-12-04,KRE,Regional Banks,sector,94.1807,98.6204,64.0945
2025-12-05,KRE,Regional Banks,sector,94.9727,98.9923,63.9463
2025-12-08,KRE,Regional Banks,sector,95.7557,99.3235,64.1637
2025-12-09,KRE,Regional Banks,sector,96.0125,100.7677,64.0352
2025-12-10,KRE,Regional Banks,sector,98.9774,106.4614,66.2484
