ticker,name,sector,industry,market_cap,cap_band,benchmark
PD,PAGERDUTY INC,Information Technology,,587371584,small,SPY
RES,RPC INC,Energy,,1529310976,small,SPY
ORRF,ORRSTOWN FINANCIAL SERVICES INC,Financials,,715534080,small,SPY
PRCH,PORCH GROUP INC,Information Technology,,797184192,small,SPY
FCBC,FIRST COMMUNITY BANKSHARES INC,Financials,,812517632,small,SPY
INBX,INHIBRX BIOSCIENCES INC,Health Care,,927984960,small,SPY
SLS,SELLAS LIFE SCIENCES GROUP INC,Health Care,,741676032,small,SPY
IVR,INVESCO MORTGAGE CAPITAL REIT INC,Financials,,704266880,small,SPY
TK,TEEKAY CORPORATION CORP LTD,Energy,,1104690560,small,SPY
SWBI,SMITH WESSON BRANDS INC,Consumer Discretionary,,661177024,small,SPY
STKL,SUNOPTA INC,Consumer Staples,,769787072,small,SPY
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,,645721088,small,SPY
SMBC,SOUTHERN MISSOURI BANCORP INC,Financials,,721371712,small,SPY
DJCO,DAILY JOURNAL CORP,Information Technology,,713577344,small,SPY
SEMR,SEMRUSH HOLDINGS INC CLASS A,Information Technology,,1809898752,small,SPY
CCBG,CAPITAL CITY BANK INC,Financials,,758301376,small,SPY
GDOT,GREEN DOT CORP CLASS A,Financials,,616244544,small,SPY
AMSF,AMERISAFE INC,Financials,,623937472,small,SPY
CTLP,CANTALOUPE INC,Financials,,794703680,small,SPY
AVNS,AVANOS MEDICAL INC,Health Care,,648783168,small,SPY
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Health Care,,742741568,small,SPY
SD,SANDRIDGE ENERGY INC,Energy,,568948800,small,SPY
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,Health Care,,559660096,small,SPY
NTGR,NETGEAR INC,Information Technology,,664056384,small,SPY
FSBC,FIVE STAR BANCORP,Financials,,818920384,small,SPY
ZGN,ERMENEGILDO ZEGNA NV,Consumer Discretionary,,2829936640,mid,SPY
FET,FORUM ENERGY TECHNOLOGIES INC,Energy,,668164160,small,SPY
MPB,MID PENN BANCORP INC,Financials,,817789056,small,SPY
KALV,KALVISTA PHARMACEUTICALS INC,Health Care,,1019327488,small,SPY
NAVI,NAVIENT CORP,Financials,,789244224,small,SPY
JANX,JANUX THERAPEUTICS INC,Health Care,,902741760,small,SPY
SERV,SERVE ROBOTICS INC,Consumer Discretionary,,639581952,small,SPY
ODC,OIL DRI CORPORATION OF AMERICA,Consumer Staples,,978414080,small,SPY
FISI,FINANCIAL INSTITUTIONS INC,Financials,,648606208,small,SPY
ESPR,ESPERION THERAPEUTICS INC,Health Care,,670275328,small,SPY
IIIN,INSTEEL INDUSTRIES INC,Industrials,,655791616,small,SPY
VEEV,VEEVA SYSTEMS INC,Health Care,Health Care Technology,,,SPY
