ticker,name,sector,benchmark,type,market_cap,cap_band
AGC.AX,Australian Gold and Copper Ltd,Gold,GDX,Miners & Producers,55202464.0,small
ODY.AX,Odyssey Gold Limited,Gold,GDX,Miners & Producers,44814936.0,small
VTX.AX,Vertex Minerals Limited,Gold,GDX,Miners & Producers,44419508.0,small
AAU.AX,Antilles Gold Limited,Gold,GDX,Miners & Producers,40684324.0,small
G11.AX,G11 Resources Limited,Gold,GDX,Miners & Producers,39145236.0,small
GWR.AX,GWR Group Limited,Gold,GDX,Miners & Producers,45567784.0,small
CTO.AX,Citigold Corporation Limited,Gold,GDX,Miners & Producers,51000004.0,small
BEZ.AX,Besra Gold Inc,Gold,GDX,Miners & Producers,43900592.0,small
WGR.AX,Western Gold Resources Limited,Gold,GDX,Miners & Producers,42637076.0,small
VKA.AX,Viking Mines Limited,Gold,GDX,Miners & Producers,33934508.0,small
NXM.AX,Nexus Minerals Limited,Gold,GDX,Miners & Producers,28980462.0,small
HMX.AX,Hammer Metals Limited,Gold,GDX,Miners & Producers,29461038.0,small
RGL.AX,Riversgold Limited,Gold,GDX,Miners & Producers,27562052.0,small
GA8.AX,GoldArc Resources Limited,Gold,GDX,Miners & Producers,29198484.0,small
MDI.AX,Middle Island Resources Limited,Gold,GDX,Miners & Producers,26819690.0,small
GGR.AX,Golden Globe Resources Limited,Gold,GDX,Miners & Producers,37806536.0,small
DGR.AX,DGR Global Limited,Gold,GDX,Miners & Producers,31310880.0,small
SVG.AX,Savannah Goldfields Limited,Gold,GDX,Miners & Producers,23557348.0,small
HAW.AX,Hawthorn Resources Limited,Gold,GDX,Miners & Producers,28811344.0,small
AXN.AX,Alliance Nickel Limited,Gold,GDX,Miners & Producers,30448970.0,small
SNM.AX,Sentinel Metals Limited,Gold,GDX,Miners & Producers,57800632.0,small
OZM.AX,OzAurum Resources Limited,Gold,GDX,Miners & Producers,25749170.0,small
ION.AX,Iondrive Limited,Gold,GDX,Miners & Producers,25922888.0,small
SNG.AX,Siren Gold Limited,Gold,GDX,Miners & Producers,24000944.0,small
GMN.AX,Gold Mountain Limited,Gold,GDX,Miners & Producers,20441684.0,small
KRM.AX,Kingsrose Mining,Gold,GDX,Miners & Producers,24112850.0,small
KNB.AX,Koonenberry Gold Limited,Gold,GDX,Miners & Producers,25686502.0,small
HMG.AX,Hamelin Gold Limited,Gold,GDX,Miners & Producers,23796428.0,small
LAT.AX,Latitude 66 Limited,Gold,GDX,Miners & Producers,24536502.0,small
ORP.AX,Orpheus Uranium Limited,Gold,GDX,Miners & Producers,19366678.0,small
GUL.AX,Gullewa Limited,Gold,GDX,Miners & Producers,21802218.0,small
PRX.AX,Prodigy Gold NL,Gold,GDX,Miners & Producers,20225602.0,small
KAL.AX,Kalgoorlie Gold Mining Limited,Gold,GDX,Miners & Producers,19146548.0,small
RC1.AX,Redcastle Resources Limited,Gold,GDX,Miners & Producers,15606442.0,small
TMX.AX,Terrain Minerals Limited,Gold,GDX,Miners & Producers,16679141.0,small
MLS.AX,Metals Australia Limited,Gold,GDX,Miners & Producers,15366110.0,small
PGD.AX,Peregrine Gold Limited,Gold,GDX,Miners & Producers,12845120.0,small
MHC.AX,Manhattan Gold Corporation Limited,Gold,GDX,Miners & Producers,12362912.0,small
AA2.AX,Ariana Resources plc,Gold,GDX,Miners & Producers,99567464.0,small
ICL.AX,Iceni Gold Limited,Gold,GDX,Miners & Producers,13756055.0,small
FG1.AX,Flynn Gold Limited,Gold,GDX,Miners & Producers,12781761.0,small
BNR.AX,Bulletin Resources Limited,Gold,GDX,Miners & Producers,12184952.0,small
SRR.AX,Sarama Resources Limited,Gold,GDX,Miners & Producers,17596680.0,small
MAN.AX,Mandrake Resources Limited,Gold,GDX,Miners & Producers,13172458.0,small
E79.AX,E79 Gold Mines Limited,Gold,GDX,Miners & Producers,11313782.0,small
REZ.AX,Resources & Energy Group Limited,Gold,GDX,Miners & Producers,11903621.0,small
NVO.AX,Novo Resources Corp,Gold,GDX,Miners & Producers,29369138.0,small
NAG.AX,Nagambie Resources Limited,Gold,GDX,Miners & Producers,12464186.0,small
RR1.AX,Reach Resources Limited,Gold,GDX,Miners & Producers,10055961.0,small
NSM.AX,North Stawell Minerals Limited,Gold,GDX,Miners & Producers,10460618.0,small
BHL.AX,Black Horse Mining Limited,Gold,GDX,Miners & Producers,19071460.0,small
ALY.AX,Alchemy Resources Limited,Gold,GDX,Miners & Producers,10692686.0,small
PEC.AX,Perpetual Resources Limited,Gold,GDX,Miners & Producers,9547055.0,small
PVW.AX,PVW Resources Limited,Gold,GDX,Miners & Producers,7415459.0,small
OLY.AX,Olympio Metals Limited,Gold,GDX,Miners & Producers,9203451.0,small
MBG.AX,MB Gold Limited,Gold,GDX,Miners & Producers,,small
KTA.AX,Krakatoa Resources Limited,Gold,GDX,Miners & Producers,7879696.0,small
GG1.AX,Green & Gold Minerals Limited,Gold,GDX,Miners & Producers,9160484.0,small
AAJ.AX,Aruma Resources Limited,Gold,GDX,Miners & Producers,8036697.0,small
MOH.AX,Moho Resources Limited,Gold,GDX,Miners & Producers,7849277.0,small
R8R.AX,Regener8 Resources NL,Gold,GDX,Miners & Producers,5379412.0,small
DTM.AX,Dart Mining NL,Gold,GDX,Miners & Producers,6710676.0,small
M2R.AX,Miramar Resources Limited,Gold,GDX,Miners & Producers,4530962.0,small
NPM.AX,New Peak Metals Limited,Gold,GDX,Miners & Producers,4608006.0,small
M2M.AX,Mt Malcolm Mines NL,Gold,GDX,Miners & Producers,5164201.0,small
AVW.AX,Avira Resources Limited,Gold,GDX,Miners & Producers,5250000.0,small
CLZ.AX,Classic Minerals Limited,Gold,GDX,Miners & Producers,5509605.0,small
OZZ.AX,OZZ Resources Limited,Gold,GDX,Miners & Producers,5419546.0,small
CDR.AX,Codrus Minerals Limited,Gold,GDX,Miners & Producers,4961625.0,small
A8G.AX,Australasian Metals Limited,Gold,GDX,Miners & Producers,4573288.0,small
DMG.AX,Dragon Mountain Gold,Gold,GDX,Miners & Producers,2762701.0,small
WSR.AX,Westar Resources Limited,Gold,GDX,Miners & Producers,3219201.0,small
GCR.AX,Golden Cross Resources Ltd,Gold,GDX,Miners & Producers,2194512.0,small
ATM.AX,Aneka Tambang (Persero) Tbk,Gold,GDX,Miners & Producers,6799656448.0,large
