rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
946,TDAY,USA TODAY INC,Communication,small,7.29,7.21,12.97,-5.76,0.94,,STRONG_UP,-5.21,-0.85,-4.36,-1.88,37.5,LOW,0.6548,-,1,10.254,period_1,2026-03-30,19
947,JOBY,JOBY AVIATION INC CLASS A,Industrials,mid,8.5,7.05,12.97,-5.92,-7.74,,STRONG_DOWN,-7.92,-0.85,-7.07,-7.81,35.0,LOW,0.9118,EARLY,0,10.253,period_1,2026-03-30,19
948,DJCO,DAILY JOURNAL CORP,Information Technology,small,532.87,8.68,12.97,-4.29,-3.63,,STRONG_UP,-8.78,-0.85,-7.93,-3.04,31.94,LOW,0.3992,-,1,10.245,period_1,2026-03-30,19
949,CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,mid,46.38,0.72,12.97,-12.25,-1.74,,STRONG_UP,-5.1,-0.85,-4.25,-2.4,46.15,HIGH,4.6015,-,1,10.22,period_1,2026-03-30,19
950,GPRE,GREEN PLAINS INC,Energy,small,15.92,-3.69,12.97,-16.66,1.12,,STRONG_UP,-12.62,-0.85,-11.77,-6.13,44.32,LOW,0.4921,-,1,10.163,period_1,2026-03-30,19
951,SBSI,SOUTHSIDE BANCSHARES INC,Financials,small,32.82,7.01,12.97,-5.96,-1.46,,STRONG_UP,-2.02,-0.85,-1.17,-1.68,40.57,LOW,0.6346,-,1,10.138,period_1,2026-03-30,19
952,WABC,WESTAMERICA BANCORPORATION,Financials,small,55.02,7.0,12.97,-5.97,3.25,,STRONG_UP,-2.65,-0.85,-1.8,0.0,39.86,MED,1.0277,-,1,10.11,period_1,2026-03-30,19
953,AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,mid,50.1,7.33,12.97,-5.64,-0.96,,STRONG_UP,-5.58,-0.85,-4.73,-0.95,36.47,LOW,0.6385,-,1,10.104,period_1,2026-03-30,19
954,RUN,SUNRUN INC,Industrials,mid,12.74,4.94,12.97,-8.03,3.86,,STRONG_UP,-16.75,-0.85,-15.9,-9.96,28.33,LOW,0.6048,EARLY,0,10.057,period_1,2026-03-30,19
955,OIS,OIL STATES INTERNATIONAL INC,Energy,small,11.08,-4.32,12.97,-17.29,11.41,,STRONG_UP,-15.19,-0.85,-14.34,-4.89,42.05,LOW,0.6552,-,1,10.001,period_1,2026-03-30,19
956,COGT,COGENT BIOSCIENCES INC,Health Care,mid,36.81,4.01,12.97,-8.96,-1.25,,STRONG_UP,-8.52,-0.85,-7.67,-4.36,37.35,LOW,0.5657,-,1,9.922,period_1,2026-03-30,19
957,CRI,CARTERS INC,Consumer Discretionary,small,37.2,7.17,12.97,-5.8,-5.72,,STRONG_UP,-5.82,-0.85,-4.97,-4.98,35.42,LOW,0.732,-,1,9.797,period_1,2026-03-30,19
958,BBT,BEACON FINANCIAL CORP,Financials,mid,31.28,6.9,12.97,-6.07,-4.52,,STRONG_UP,-3.81,-0.85,-2.96,-3.78,37.72,LOW,0.8017,-,1,9.776,period_1,2026-03-30,19
959,MIRM,MIRUM PHARMACEUTICALS INC,Health Care,mid,91.49,4.08,12.97,-8.89,-5.15,,STRONG_UP,-7.54,-0.85,-6.69,-7.54,37.74,LOW,0.5449,-,1,9.773,period_1,2026-03-30,19
960,GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,mid,98.1,7.64,12.97,-5.33,-0.75,,STRONG_UP,-2.26,-0.85,-1.41,-1.86,38.19,LOW,0.6383,-,1,9.748,period_1,2026-03-30,19
961,GENI,GENIUS SPORTS LTD,Consumer Discretionary,small,4.47,5.42,12.97,-7.55,-8.76,,STRONG_DOWN,-14.04,-0.85,-13.19,-8.59,29.17,LOW,0.45,-,0,9.688,period_1,2026-03-30,19
962,BUSE,FIRST BUSEY CORP,Financials,mid,26.18,6.91,12.97,-6.06,-2.08,,STRONG_UP,-2.78,-0.85,-1.93,-2.0,38.43,LOW,0.9031,-,1,9.684,period_1,2026-03-30,19
963,LIVN,LIVANOVA PLC,Health Care,mid,64.2,4.78,12.97,-8.19,-3.18,,STRONG_UP,-4.35,-0.85,-3.5,-4.35,39.69,LOW,0.4812,-,1,9.681,period_1,2026-03-30,19
964,WELL,Welltower,Real Estate,large,208.75,6.89,12.97,-6.08,-1.07,,STRONG_UP,-6.9,-0.85,-6.05,-2.69,34.12,LOW,0.7393,-,1,9.619,period_1,2026-03-30,19
965,MITK,MITEK SYSTEMS INC,Information Technology,small,14.29,8.09,12.97,-4.88,-5.15,,STRONG_DOWN,-8.46,-0.85,-7.61,-6.3,30.89,LOW,0.6713,-,1,9.598,period_1,2026-03-30,19
966,ACAD,ACADIA PHARMACEUTICALS INC,Health Care,mid,21.96,4.22,12.97,-8.75,-1.33,,STRONG_UP,-5.85,-0.85,-5.0,-2.7,38.52,LOW,0.4844,PROGRESS,0,9.556,period_1,2026-03-30,19
967,TRUP,TRUPANION INC,Financials,small,27.46,6.48,12.97,-6.49,-5.65,,STRONG_UP,-7.06,-0.85,-6.21,-4.92,34.16,LOW,0.5771,-,0,9.515,period_1,2026-03-30,19
968,GM,General Motors,Consumer Discretionary,large,78.05,7.27,12.97,-5.7,-3.83,,STRONG_UP,-4.02,-0.85,-3.17,-4.02,36.11,LOW,0.7899,-,1,9.504,period_1,2026-03-30,19
969,MTB,M&T Bank,Financials,large,214.92,6.86,12.97,-6.11,-2.9,,STRONG_UP,-3.62,-0.85,-2.77,-3.62,37.01,LOW,0.5708,-,1,9.49,period_1,2026-03-30,19
970,OI,O I GLASS INC,Materials,small,10.7,5.0,12.97,-7.97,-2.93,,STRONG_UP,-4.84,-0.85,-3.99,-2.19,38.24,LOW,,-,0,9.481,period_1,2026-03-30,19
