rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
75,0,AAU.AX,Antilles Gold Limited,Gold,small,0.013,87.58,0.1448,-0.0296,0.5521,FLAT,30.00%,225.00%,-31.58%,-35.29%,27.20%,155.85%,0.2706,LOW,-,0.0136,0.0138,0.0093,1,39.2685,LEADER,16.9518
76,0,YRL.AX,Yandal Resources Limited,Gold,small,0.205,52.29,-0.0135,0.0918,-0.062,FLAT,-39.71%,70.83%,57.69%,-54.76%,36.40%,85.13%,0.0064,LOW,-,0.207,0.2232,0.2256,0,30.287,LAGGARD,16.8323
77,0,HAW.AX,Hawthorn Resources Limited,Gold,small,0.09,69.93,0.0095,-0.0239,-0.0805,STRONG_UP,45.16%,114.29%,12.50%,-40.69%,26.00%,86.47%,0.0,LOW,-,0.0908,0.1129,0.0831,1,34.3637,CONTENDER,16.7638
78,0,KAU.AX,Kaiser Reef Limited,Gold,small,0.275,57.52,0.0414,-0.1184,0.0093,FLAT,1.85%,77.42%,83.33%,-40.96%,39.20%,78.20%,0.8329,LOW,-,0.2973,0.3305,0.2662,1,38.8087,CONTENDER,16.4752
79,0,MDI.AX,Middle Island Resources Limited,Gold,small,0.027,51.63,0.043,-0.2285,-0.2851,STRONG_UP,-32.50%,68.75%,68.75%,-60.66%,32.40%,142.14%,0.4383,LOW,-,0.0326,0.0412,0.0334,0,15.6712,LAGGARD,16.1081
80,0,EM3.AX,EMC Gold Corporation,Gold,small,0.18,66.67,-0.3326,0.06,1.1301,STRONG_DOWN,,106.90%,106.90%,-46.43%,44.44%,175.24%,1.1315,MED,-,0.212,0.1649,,0,27.1084,LAGGARD,15.9131
81,0,CY5.AX,Cygnus Metals Limited,Gold,small,0.125,45.75,0.0046,-0.1664,-0.2408,STRONG_UP,0.00%,58.23%,127.27%,-52.00%,37.20%,93.96%,0.5577,LOW,-,0.1417,0.1765,0.1354,0,23.0532,WEAK,15.3275
82,0,PRX.AX,Prodigy Gold NL,Gold,small,0.056,41.83,-0.0385,0.035,0.0732,STRONG_DOWN,40.00%,40.00%,5.00%,-66.67%,24.00%,56.28%,0.2249,LOW,-,0.0597,0.0634,0.0558,1,17.0576,LAGGARD,15.2839
83,0,SVG.AX,Savannah Goldfields Limited,Gold,small,0.016,25.49,0.2963,0.3029,-0.1368,FLAT,-40.74%,14.29%,-42.86%,-63.33%,28.00%,124.90%,1.9389,HIGH,-,0.0133,0.0153,0.0182,0,3.2026,WEAK,15.0188
84,0,SNM.AX,Sentinel Metals Limited,Gold,small,0.56,60.78,0.0196,0.035,0.2743,STRONG_DOWN,,80.65%,80.65%,-33.12%,48.11%,91.18%,0.4222,LOW,-,0.56,0.6004,,0,42.5514,LAGGARD,14.5382
