rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
46,0,AAU.AX,Antilles Gold Limited,Gold,small,0.014,94.08,-0.0123,-0.1647,0.5053,FLAT,40.0,300.0,-30.0,-35.29,28.4,151.54,0.0176,LOW,-,0.0129,0.0135,0.0097,1,56.2228,LEADER,20.4013
47,1,TTM.AX,Titan Minerals Limited,Gold,small,0.84,70.39,0.093,-0.0801,-0.1104,STRONG_UP,60.0,100.0,162.5,-35.78,42.0,73.37,0.3168,LOW,-,0.8067,0.8923,0.6603,1,57.2441,CONTENDER,20.0994
48,1,TAM.AX,Tanami Gold NL,Gold,small,0.091,82.89,0.0338,-0.1216,0.1886,FLAT,29.08,152.78,,-34.4,38.8,102.06,0.1846,LOW,-,0.0892,0.0991,0.0758,1,58.0813,LEADER,19.9379
49,1,RMS.AX,Ramelius Resources Limited,Gold,large,3.95,44.08,0.0164,-0.0105,-0.0226,STRONG_UP,-1.01,37.25,104.33,-33.84,49.6,63.77,0.9374,LOW,-,3.7505,4.1563,3.6548,1,28.9706,LAGGARD,19.671
50,1,TRE.AX,Toubani Resources Inc,Gold,small,0.605,73.03,0.0878,0.3612,0.5457,STRONG_DOWN,27.37,105.08,384.0,-44.79,42.8,81.22,0.5805,LOW,-,0.4915,0.4751,0.3953,1,55.3759,CONTENDER,19.6579
51,3,STK.AX,Strickland Metals Limited,Gold,mid,0.21,75.66,-0.0789,0.0411,0.1053,STRONG_DOWN,-12.5,110.0,75.0,-31.25,38.0,83.3,0.5471,LOW,-,0.2035,0.2149,0.1839,1,50.1801,LEADER,19.5698
52,0,RGL.AX,Riversgold Limited,Gold,small,0.015,92.11,0.1416,0.0882,0.4689,FLAT,87.5,233.33,,-47.62,27.2,158.84,0.8737,LOW,-,0.0128,0.0144,0.0087,1,39.9564,LEADER,19.4065
53,0,VAU.AX,Vault Minerals Limited,Gold,mid,4.63,48.68,0.0121,0.0189,-0.1047,FLAT,-5.59,45.91,67.96,-41.81,49.6,63.0,0.4603,LOW,-,4.2435,4.9011,4.4243,1,36.1428,LAGGARD,19.2823
54,1,HAW.AX,Hawthorn Resources Limited,Gold,small,0.1,79.61,-0.0123,0.1279,-0.0991,FLAT,47.06,127.27,40.85,-40.69,26.8,70.14,0.0,LOW,-,0.0919,0.1063,0.0849,1,48.63,LEADER,19.11
55,1,AAJ.AX,Aruma Resources Limited,Gold,small,0.017,62.5,0.2955,0.4334,0.0497,FLAT,0.0,70.0,-10.53,-68.97,29.2,156.55,1.0322,MED,-,0.0124,0.0141,0.0138,1,13.0565,CONTENDER,18.7273
